       125          2         10 
3
For the Breit-Wigner fit I find the paramters to be
Mass m=125.971776022168
FWHM Gamma=2.11230628655223
A=10.0036451519558


100 0.0148059879286752
100.03 0.0148401953811038
100.06 0.0148745214531224
100.09 0.0149089666935021
100.12 0.0149435316541893
100.15 0.0149782168903281
100.18 0.0150130229602822
100.21 0.0150479504256572
100.24 0.0150829998513237
100.27 0.0151181718054396
100.3 0.0151534668594734
100.33 0.0151888855882271
100.36 0.0152244285698597
100.39 0.0152600963859109
100.42 0.0152958896213243
100.45 0.015331808864472
100.48 0.0153678547071784
100.51 0.0154040277447442
100.54 0.0154403285759717
100.57 0.0154767578031886
100.6 0.0155133160322739
100.63 0.0155500038726821
100.66 0.0155868219374692
100.69 0.0156237708433181
100.72 0.015660851210564
100.75 0.015698063663221
100.78 0.0157354088290077
100.81 0.0157728873393741
100.84 0.0158104998295277
100.87 0.015848246938461
100.9 0.015886129308978
100.93 0.0159241475877218
100.96 0.0159623024252019
100.99 0.0160005944758225
101.02 0.0160390243979097
101.05 0.0160775928537403
101.08 0.0161163005095703
101.11 0.016155148035663
101.14 0.0161941361063187
101.17 0.0162332653999035
101.2 0.0162725365988785
101.23 0.0163119503898301
101.26 0.0163515074634994
101.29 0.0163912085148127
101.32 0.0164310542429119
101.35 0.016471045351185
101.38 0.0165111825472972
101.41 0.0165514665432222
101.44 0.0165918980552738
101.47 0.0166324778041372
101.5 0.0166732065149015
101.53 0.0167140849170918
101.56 0.016755113744702
101.59 0.0167962937362272
101.62 0.0168376256346973
101.65 0.0168791101877104
101.68 0.0169207481474662
101.71 0.0169625402708004
101.74 0.0170044873192187
101.77 0.0170465900589314
101.8 0.0170888492608887
101.83 0.0171312657008155
101.86 0.0171738401592469
101.89 0.0172165734215643
101.92 0.0172594662780315
101.95 0.0173025195238306
101.98 0.0173457339590997
102.01 0.017389110388969
102.04 0.0174326496235989
102.07 0.0174763524782174
102.1 0.0175202197731585
102.13 0.0175642523338999
102.16 0.0176084509911026
102.19 0.0176528165806494
102.22 0.0176973499436844
102.25 0.0177420519266529
102.28 0.0177869233813415
102.31 0.0178319651649184
102.34 0.0178771781399744
102.37 0.0179225631745642
102.4 0.0179681211422476
102.43 0.0180138529221316
102.46 0.0180597593989127
102.49 0.0181058414629199
102.52 0.0181521000101569
102.55 0.0181985359423466
102.58 0.018245150166974
102.61 0.018291943597331
